DEBUG 2018-12-14 10:38:24,955 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.SystemUserApp.ISystemUserAppService' with service name 'app/systemUser'.  :行号0
DEBUG 2018-12-14 10:38:24,958 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.TagReleationApp.ITagReleationAppService' with service name 'app/tagReleation'.  :行号0
DEBUG 2018-12-14 10:38:24,959 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.IUploadFileAppService' with service name 'app/uploadFile'.  :行号0
WARN  2018-12-14 10:38:31,338 Abp.Logging.LogHelper                                        - ISettingStore is not implemented, using DefaultConfigSettingStore which does not support GetAllListAsync.  :行号59
WARN  2018-12-14 10:38:31,388 Abp.Logging.LogHelper                                        - ISettingStore is not implemented, using DefaultConfigSettingStore which does not support GetAllListAsync.  :行号59
DEBUG 2018-12-14 10:38:53,736 Abp.Modules.AbpModuleManager                                 - Shutting down has been started  :行号53
DEBUG 2018-12-14 10:38:53,737 Abp.BackgroundJobs.BackgroundJobManager                      - Stop background worker: Abp.BackgroundJobs.BackgroundJobManager  :行号101
DEBUG 2018-12-14 10:38:53,738 Abp.BackgroundJobs.BackgroundJobManager                      - WaitToStop background worker: Abp.BackgroundJobs.BackgroundJobManager  :行号107
DEBUG 2018-12-14 10:38:53,738 Abp.Modules.AbpModuleManager                                 - Shutting down completed.  :行号60
DEBUG 2018-12-14 10:54:30,674 Abp.Modules.AbpModuleManager                                 - Loading Abp modules...  :行号66
DEBUG 2018-12-14 10:54:30,836 Abp.Modules.AbpModuleManager                                 - Found 11 ABP modules in total.  :行号70
DEBUG 2018-12-14 10:54:30,842 Abp.Modules.AbpModuleManager                                 - Loaded module: InfoEarthFrame.Web.InfoEarthFrameWebModule, InfoEarthFrame.Web, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null  :行号97
DEBUG 2018-12-14 10:54:30,846 Abp.Modules.AbpModuleManager                                 - Loaded module: Abp.Web.Mvc.AbpWebMvcModule, Abp.Web.Mvc, Version=0.10.0.1, Culture=neutral, PublicKeyToken=null  :行号97
DEBUG 2018-12-14 10:54:30,846 Abp.Modules.AbpModuleManager                                 - Loaded module: Abp.Web.AbpWebModule, Abp.Web, Version=0.10.0.1, Culture=neutral, PublicKeyToken=null  :行号97
DEBUG 2018-12-14 10:54:30,849 Abp.Modules.AbpModuleManager                                 - Loaded module: Abp.Web.AbpWebCommonModule, Abp.Web.Common, Version=0.10.0.1, Culture=neutral, PublicKeyToken=null  :行号97
DEBUG 2018-12-14 10:54:30,849 Abp.Modules.AbpModuleManager                                 - Loaded module: Abp.AbpKernelModule, Abp, Version=0.10.0.1, Culture=neutral, PublicKeyToken=null  :行号97
DEBUG 2018-12-14 10:54:30,849 Abp.Modules.AbpModuleManager                                 - Loaded module: InfoEarthFrame.InfoEarthFrameDataModule, InfoEarthFrame.EntityFramework, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null  :行号97
DEBUG 2018-12-14 10:54:30,850 Abp.Modules.AbpModuleManager                                 - Loaded module: Abp.EntityFramework.AbpEntityFrameworkModule, Abp.EntityFramework, Version=0.10.0.2, Culture=neutral, PublicKeyToken=null  :行号97
DEBUG 2018-12-14 10:54:30,850 Abp.Modules.AbpModuleManager                                 - Loaded module: InfoEarthFrame.InfoEarthFrameCoreModule, InfoEarthFrame.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null  :行号97
DEBUG 2018-12-14 10:54:30,851 Abp.Modules.AbpModuleManager                                 - Loaded module: InfoEarthFrame.InfoEarthFrameApplicationModule, InfoEarthFrame.Application, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null  :行号97
DEBUG 2018-12-14 10:54:30,851 Abp.Modules.AbpModuleManager                                 - Loaded module: InfoEarthFrame.InfoEarthFrameWebApiModule, InfoEarthFrame.WebApi, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null  :行号97
DEBUG 2018-12-14 10:54:30,852 Abp.Modules.AbpModuleManager                                 - Loaded module: Abp.WebApi.AbpWebApiModule, Abp.Web.Api, Version=0.10.0.1, Culture=neutral, PublicKeyToken=null  :行号97
DEBUG 2018-12-14 10:54:30,864 Abp.Modules.AbpModuleManager                                 - 11 modules loaded.  :行号78
DEBUG 2018-12-14 10:54:31,160 Abp.EntityFramework.AbpEntityFrameworkModule                 - Registering DbContext: InfoEarthFrame.EntityFramework.InfoEarthFrameDbContext, InfoEarthFrame.EntityFramework, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null  :行号63
DEBUG 2018-12-14 10:54:33,731 Abp.Localization.LocalizationManager                         - Initializing 3 localization sources.  :行号63
DEBUG 2018-12-14 10:54:33,758 Abp.Localization.LocalizationManager                         - Initialized localization source: Abp  :行号63
DEBUG 2018-12-14 10:54:33,759 Abp.Localization.LocalizationManager                         - Initialized localization source: AbpWeb  :行号63
DEBUG 2018-12-14 10:54:33,815 Abp.Localization.LocalizationManager                         - Initialized localization source: InfoEarthFrame  :行号63
DEBUG 2018-12-14 10:54:33,975 Abp.BackgroundJobs.BackgroundJobManager                      - Start background worker: Abp.BackgroundJobs.BackgroundJobManager  :行号95
DEBUG 2018-12-14 10:54:34,002 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.IAreaAppService' with service name 'app/area'.  :行号0
DEBUG 2018-12-14 10:54:34,006 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.DataStyleApp.IDataStyleAppService' with service name 'app/dataStyle'.  :行号0
DEBUG 2018-12-14 10:54:34,007 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.DataTagApp.IDataTagAppService' with service name 'app/dataTag'.  :行号0
DEBUG 2018-12-14 10:54:34,008 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.DataTypeApp.IDataTypeAppService' with service name 'app/dataType'.  :行号0
DEBUG 2018-12-14 10:54:34,009 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.DicDataCodeApp.IDicDataCodeAppService' with service name 'app/dicDataCode'.  :行号0
DEBUG 2018-12-14 10:54:34,011 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.DicDataTypeApp.IDicDataTypeAppService' with service name 'app/dicDataType'.  :行号0
DEBUG 2018-12-14 10:54:34,012 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.GetConfig.IGetConfigAppService' with service name 'app/getConfig'.  :行号0
DEBUG 2018-12-14 10:54:34,013 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.IKneeCoordinateAppService' with service name 'app/kneeCoordinate'.  :行号0
DEBUG 2018-12-14 10:54:34,015 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.LayerContentApp.ILayerContentAppService' with service name 'app/layerContent'.  :行号0
DEBUG 2018-12-14 10:54:34,017 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.LayerFieldApp.ILayerFieldAppService' with service name 'app/layerField'.  :行号0
DEBUG 2018-12-14 10:54:34,018 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.LayerFieldDictApp.ILayerFieldDictAppService' with service name 'app/layerFieldDict'.  :行号0
DEBUG 2018-12-14 10:54:34,019 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.LayerReadLogApp.ILayerReadLogAppService' with service name 'app/layerReadLog'.  :行号0
DEBUG 2018-12-14 10:54:34,020 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Area.ILogAppService' with service name 'app/log'.  :行号0
DEBUG 2018-12-14 10:54:34,021 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.IDataConvertAppService' with service name 'app/dataConvert'.  :行号0
DEBUG 2018-12-14 10:54:34,023 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.OperateLogApp.IOperateLogAppService' with service name 'app/operateLog'.  :行号0
DEBUG 2018-12-14 10:54:34,024 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.ServerInterfaceApp.IServerInterfaceAppService' with service name 'app/serverInterface'.  :行号0
DEBUG 2018-12-14 10:54:34,026 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.ISetSysAppService' with service name 'app/setSys'.  :行号0
DEBUG 2018-12-14 10:54:34,028 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.MapApp.IMapAppService' with service name 'app/map'.  :行号0
DEBUG 2018-12-14 10:54:34,029 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.MapMetaDataApp.IMapMetaDataAppService' with service name 'app/mapMetaData'.  :行号0
DEBUG 2018-12-14 10:54:34,031 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.MapReleationApp.IMapReleationAppService' with service name 'app/mapReleation'.  :行号0
DEBUG 2018-12-14 10:54:34,033 Abp.Logging.LogHelper                                        - Dynamic web api controller is created for type 'InfoEarthFrame.Application.IMultimediaAppService' with service name 'app/multimedia'.  :行号0
